"city","date_time","temperature","humidity","temp_min","temp_max","pressure","wind_speed","wind_deg"
"Seoul","2023-11-04 21:00:00",289.66,77,288.68,289.66,1021,2.08,74
"Seoul","2023-11-05 00:00:00",289.33,79,288.66,289.33,1021,2.85,86
"Seoul","2023-11-05 03:00:00",289.16,82,288.91,289.16,1020,2.35,89
"Seoul","2023-11-05 06:00:00",289.65,84,289.65,289.65,1017,2.48,85
"Seoul","2023-11-05 09:00:00",290.61,82,290.61,290.61,1015,3.35,113
"Seoul","2023-11-05 12:00:00",292.16,76,292.16,292.16,1011,5.67,141
"Seoul","2023-11-05 15:00:00",291.33,88,291.33,291.33,1006,7.14,148
"Seoul","2023-11-05 18:00:00",292.49,92,292.49,292.49,1001,7.16,199
"Seoul","2023-11-05 21:00:00",289.86,86,289.86,289.86,1003,7.68,256
"Seoul","2023-11-06 00:00:00",288.22,68,288.22,288.22,1008,6.42,269
"Seoul","2023-11-06 03:00:00",289.51,53,289.51,289.51,1008,8.74,256
"Seoul","2023-11-06 06:00:00",288.05,41,288.05,288.05,1008,8.9,250
"Seoul","2023-11-06 09:00:00",285.21,42,285.21,285.21,1010,8.23,257
"Seoul","2023-11-06 12:00:00",282.94,56,282.94,282.94,1012,9.9,257
"Seoul","2023-11-06 15:00:00",281,70,281,281,1014,9.11,286
"Seoul","2023-11-06 18:00:00",278.81,63,278.81,278.81,1017,7.88,297
"Seoul","2023-11-06 21:00:00",277.37,60,277.37,277.37,1020,6.12,300
"Seoul","2023-11-07 00:00:00",277.51,56,277.51,277.51,1023,4.9,311
"Seoul","2023-11-07 03:00:00",279.93,46,279.93,279.93,1023,3.96,307
"Seoul","2023-11-07 06:00:00",282.26,41,282.26,282.26,1022,3.83,302
"Seoul","2023-11-07 09:00:00",281.69,42,281.69,281.69,1024,2.72,311
"Seoul","2023-11-07 12:00:00",280.94,41,280.94,280.94,1025,1.05,325
"Seoul","2023-11-07 15:00:00",280.58,39,280.58,280.58,1024,0.58,324
"Seoul","2023-11-07 18:00:00",280.09,41,280.09,280.09,1025,1.34,20
"Seoul","2023-11-07 21:00:00",279.45,46,279.45,279.45,1024,1.43,76
"Seoul","2023-11-08 00:00:00",280.83,39,280.83,280.83,1025,1.49,85
"Seoul","2023-11-08 03:00:00",285.83,24,285.83,285.83,1023,1.81,75
"Seoul","2023-11-08 06:00:00",288.19,21,288.19,288.19,1022,1.95,105
"Seoul","2023-11-08 09:00:00",287.59,24,287.59,287.59,1022,1.02,81
"Seoul","2023-11-08 12:00:00",286.03,32,286.03,286.03,1022,1.05,93
"Seoul","2023-11-08 15:00:00",284.8,39,284.8,284.8,1022,0.97,128
"Seoul","2023-11-08 18:00:00",284.11,46,284.11,284.11,1022,1.3,134
"Seoul","2023-11-08 21:00:00",284.16,49,284.16,284.16,1020,1.56,114
"Seoul","2023-11-09 00:00:00",285.52,50,285.52,285.52,1021,1.42,129
"Seoul","2023-11-09 03:00:00",288.23,54,288.23,288.23,1020,2.96,229
"Seoul","2023-11-09 06:00:00",284.47,65,284.47,284.47,1021,5.05,334
"Seoul","2023-11-09 09:00:00",283.19,37,283.19,283.19,1024,4.53,335
"Seoul","2023-11-09 12:00:00",280.98,30,280.98,280.98,1025,4.64,319
"Seoul","2023-11-09 15:00:00",278.81,34,278.81,278.81,1025,4.67,320
"Seoul","2023-11-09 18:00:00",277.52,29,277.52,277.52,1025,4.63,330
"Washington, D.C.","2023-11-04 21:00:00",282,88,282,283.41,1010,1.44,42
"Washington, D.C.","2023-11-05 00:00:00",282.43,89,282.43,283.28,1010,1.04,50
"Washington, D.C.","2023-11-05 03:00:00",281.47,88,281.2,281.47,1009,0.88,254
"Washington, D.C.","2023-11-05 06:00:00",280.27,85,280.27,280.27,1009,1.7,275
"Washington, D.C.","2023-11-05 09:00:00",279.86,85,279.86,279.86,1010,1.95,269
"Washington, D.C.","2023-11-05 12:00:00",278.69,85,278.69,278.69,1011,2.01,273
"Washington, D.C.","2023-11-05 15:00:00",277.71,84,277.71,277.71,1012,2.07,272
"Washington, D.C.","2023-11-05 18:00:00",283.35,62,283.35,283.35,1011,1,308
"Washington, D.C.","2023-11-05 21:00:00",286.03,49,286.03,286.03,1009,1.47,62
"Washington, D.C.","2023-11-06 00:00:00",283.12,64,283.12,283.12,1008,1.53,114
"Washington, D.C.","2023-11-06 03:00:00",281.15,82,281.15,281.15,1009,0.55,343
"Washington, D.C.","2023-11-06 06:00:00",280.86,85,280.86,280.86,1008,1.11,349
"Washington, D.C.","2023-11-06 09:00:00",280.46,87,280.46,280.46,1006,0.72,337
