"CITY","DATE_TIME","TEMPERATURE","HUMIDITY","TEMP_MIN","TEMP_MAX","PRESSURE","WIND_SPEED","WIND_DEG"
"Seoul","2023-10-10 12:00:00",288.66,82,288.66,291.89,1022,1.16,86
"Seoul","2023-10-10 15:00:00",289.19,73,289.19,290.25,1022,1.29,96
"Seoul","2023-10-10 18:00:00",288.89,67,288.89,289.01,1023,1.44,84
"Seoul","2023-10-10 21:00:00",288.21,60,288.21,288.21,1024,1.4,83
"Seoul","2023-10-11 00:00:00",290.36,50,290.36,290.36,1026,1.36,100
"Seoul","2023-10-11 03:00:00",294.82,36,294.82,294.82,1025,1.46,131
"Seoul","2023-10-11 06:00:00",296.36,31,296.36,296.36,1023,0.61,217
"Seoul","2023-10-11 09:00:00",294.31,39,294.31,294.31,1023,1.26,290
"Seoul","2023-10-11 12:00:00",292.56,51,292.56,292.56,1025,1.01,313
"Seoul","2023-10-11 15:00:00",291.39,56,291.39,291.39,1025,0.8,356
"Seoul","2023-10-11 18:00:00",290.27,59,290.27,290.27,1025,1.01,62
"Seoul","2023-10-11 21:00:00",289.05,60,289.05,289.05,1026,0.95,86
"Seoul","2023-10-12 00:00:00",291.26,52,291.26,291.26,1027,0.85,97
"Seoul","2023-10-12 03:00:00",295.39,40,295.39,295.39,1026,1.08,284
"Seoul","2023-10-12 06:00:00",296.06,35,296.06,296.06,1023,3.1,285
"Seoul","2023-10-12 09:00:00",293.92,44,293.92,293.92,1023,3.1,295
"Seoul","2023-10-12 12:00:00",292.67,51,292.67,292.67,1023,1.62,321
"Seoul","2023-10-12 15:00:00",291.71,55,291.71,291.71,1023,0.95,330
"Seoul","2023-10-12 18:00:00",290.8,57,290.8,290.8,1022,0.77,83
"Seoul","2023-10-12 21:00:00",290.11,58,290.11,290.11,1022,0.82,80
"Seoul","2023-10-13 00:00:00",291.63,53,291.63,291.63,1022,0.68,146
"Seoul","2023-10-13 03:00:00",294.38,43,294.38,294.38,1020,1.14,212
"Seoul","2023-10-13 06:00:00",295.35,38,295.35,295.35,1017,3.04,255
"Seoul","2023-10-13 09:00:00",293.22,45,293.22,293.22,1017,2.93,275
"Seoul","2023-10-13 12:00:00",291.56,53,291.56,291.56,1017,1.15,280
"Seoul","2023-10-13 15:00:00",290.44,58,290.44,290.44,1016,0.57,269
"Seoul","2023-10-13 18:00:00",289.46,62,289.46,289.46,1015,0.16,140
"Seoul","2023-10-13 21:00:00",288.87,66,288.87,288.87,1014,0.85,131
"Seoul","2023-10-14 00:00:00",290.69,62,290.69,290.69,1014,1.1,165
"Seoul","2023-10-14 03:00:00",293.89,42,293.89,293.89,1013,2.67,216
"Seoul","2023-10-14 06:00:00",294.4,37,294.4,294.4,1010,4.07,237
"Seoul","2023-10-14 09:00:00",291.98,46,291.98,291.98,1010,3.73,245
"Seoul","2023-10-14 12:00:00",290.27,58,290.27,290.27,1010,3.74,290
"Seoul","2023-10-14 15:00:00",288.34,68,288.34,288.34,1010,1.81,145
"Seoul","2023-10-14 18:00:00",287.8,75,287.8,287.8,1009,1.05,101
"Seoul","2023-10-14 21:00:00",287.29,80,287.29,287.29,1009,1.07,115
"Seoul","2023-10-15 00:00:00",289.14,70,289.14,289.14,1010,0.17,253
"Seoul","2023-10-15 03:00:00",292.86,46,292.86,292.86,1009,3.42,270
"Seoul","2023-10-15 06:00:00",293.1,45,293.1,293.1,1008,5.18,274
"Seoul","2023-10-15 09:00:00",291.07,63,291.07,291.07,1008,4.17,256
"Washington, D.C.","2023-10-10 12:00:00",283.5,71,283.25,283.5,1002,2.41,290
"Washington, D.C.","2023-10-10 15:00:00",283.31,76,282.92,283.31,1002,1.64,293
"Washington, D.C.","2023-10-10 18:00:00",284.5,73,284.5,285,1001,1.58,304
"Washington, D.C.","2023-10-10 21:00:00",284.87,79,284.87,284.87,999,1.6,316
"Washington, D.C.","2023-10-11 00:00:00",283.78,86,283.78,283.78,999,0.95,303
"Washington, D.C.","2023-10-11 03:00:00",281.91,94,281.91,281.91,1000,0.34,286
"Washington, D.C.","2023-10-11 06:00:00",280.05,96,280.05,280.05,1000,0.64,303
